ID,EnglishNames,Countries,CountryCode,Endangerment,No,Latitude,Longitude
1024,Eastern Slovak,"Slovakia, Ukraine","SVK, UKR",Vulnerable,1000000,48.8068,21.7968
377,Ligurian,"France, Italy, Monaco","FRA, ITA, MCO",Definitely endangered,1000000,44.5748,8.7011
407,Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",Vulnerable,1000000,48.4437,22.9394
1515,Talysh,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",Vulnerable,1000000,38.814,48.6804
1577,Kui,India,IND,Vulnerable,916222,19.5908,83.9575
1231,Khasi,India,IND,Vulnerable,912000,25.691,91.8676
1229,Bodo,India,IND,Vulnerable,900000,26.7554,92.8674
337,Campidanese,Italy,ITA,Definitely endangered,900000,39.2991,8.9868
1803,K'iche' (Guatemala),Guatemala,GTM,Vulnerable,890596,15.0309,-91.1485
989,Quechua of Ayacucho,Peru,PER,Definitely endangered,850000,-13.1276,-74.2071
1117,Newar,Nepal,NPL,Definitely endangered,825458,27.6981,85.3198
2222,Mon,"Myanmar, Thailand","MMR, THA",Vulnerable,800000,16.4666,97.7833
1523,Polesian,"Belarus, Poland, Ukraine","BRB, POL, UKR",Vulnerable,800000,51.8629,23.9501
701,Tamaceq,Mali,MLI,Definitely endangered,800000,16.7992,-3.0102
1069,Avar,Russian Federation,RUS,Vulnerable,784840,42.4801,46.8017
1211,Mundari,India,IND,Vulnerable,750000,22.3297,86.0449
425,Welsh,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,750000,52.4459,-3.5485
1202,Angika,"India, Nepal","IND, NPL",Vulnerable,740892,24.7451,85.3124
1827,Q'eqchi' (Guatemala),Guatemala,GTM,Vulnerable,716101,15.4707,-90.3722
398,Picard,"Belgium, France","BEL, FRA",Severely endangered,700000,50.2331,2.7905
1228,Kokborok,"Bangladesh, India","BGD, IND",Vulnerable,695000,23.7752,91.6918
415,Basque,"Spain, France","ESP, FRA",Vulnerable,660000,43.133,-2.0764
1065,Kabard-Cherkes,"Russian Federation, Turkey","RUS, TUR",Vulnerable,650000,43.7393,43.4289
1559,Mandeali,India,IND,Definitely endangered,611930,31.4099,76.9921
353,Friulian,Italy,ITA,Definitely endangered,600000,46.1037,13.1396
997,Quechua of Ancash and Huánuco,Peru,PER,Definitely endangered,600000,-9.4598,-77.1789
1947,Walloon,"Belgium, France, Luxembourg","BEL, FRA, LUX",Definitely endangered,600000,50.4575,4.8559
1091,Mising,India,IND,Definitely endangered,550000,26.9612,94.0539
1066,Ossete,"Georgia, Russian Federation","GEO, RUS",Vulnerable,550000,42.9564,44.4946
1230,Mizo,India,IND,Vulnerable,529000,22.9988,92.9223
1070,Dargwa,Russian Federation,RUS,Vulnerable,503523,42.1145,47.4938
331,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",Definitely endangered,500000,40.2292,21.1376
2485,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",Vulnerable,500000,29.0369,66.5826
375,Languedocian,France,FRA,Severely endangered,500000,43.8899,2.5378
1072,Lezgian,"Azerbaijan, Russian Federation","AZE, RUS",Vulnerable,500000,41.4921,48.0541
1558,Mahasui,India,IND,Definitely endangered,496024,31.2738,77.1295
1118,Magar,Nepal,NPL,Definitely endangered,489383,28.0816,83.4301
1822,Mam (Guatemala),Guatemala,GTM,Vulnerable,477717,14.9305,-91.9078
418,Udmurt,Russian Federation,RUS,Definitely endangered,463837,57.2315,52.8662
1506,Huasteca Náhuatl,Mexico,MEX,Vulnerable,463183,21.3835,-98.9902
1074,Kumyk,Russian Federation,RUS,Vulnerable,458121,43.397,46.9775
508,Yakut,Russian Federation,RUS,Vulnerable,456288,62.3496,130.8691
1801,Kaqchikel (Guatemala),Guatemala,GTM,Vulnerable,444954,14.7814,-90.7925
1165,Karbi,India,IND,Vulnerable,420000,26.2934,93.2299
347,Eastern Mari,Russian Federation,RUS,Definitely endangered,414211,56.632,47.8784
1068,Ingush,Russian Federation,RUS,Vulnerable,405343,43.145,45.1043
350,Erzya,Russian Federation,RUS,Definitely endangered,400000,54.1302,45.4394
1212,Ho,India,IND,Vulnerable,400000,21.637,86.4404
2165,Judezmo (Israel),Israel,ISR,Severely endangered,400000,32.0872,34.7737
534,Lalo,China,CHN,Vulnerable,400000,25.383,99.9426
378,Limousin,France,FRA,Severely endangered,400000,46.0579,1.8017
381,Logudorese,Italy,ITA,Definitely endangered,400000,40.1116,9.1845
626,Mapuche (Chile),Chile,CHL,Definitely endangered,400000,-38.5653,-73.081
1503,Central Náhuatl,Mexico,MEX,Vulnerable,395581,19.191,-99.0236
424,Moselle Franconian,"Germany, Belgium, France, Luxembourg","DEU, BEL, FRA, LUX",Vulnerable,390000,49.6071,6.1248
964,Bantawa,Nepal,NPL,Vulnerable,371056,27.0994,87.0048
1424,Santa,China,CHN,Vulnerable,360000,35.5411,102.7935
1057,Mingrelian,Georgia,GEO,Definitely endangered,350000,42.4599,41.7205
426,West Frisian,Netherlands,NLD,Vulnerable,350000,53.1006,5.6579
1113,Gurung,Nepal,NPL,Definitely endangered,338925,28.275,84.1782
295,Guajiro,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Vulnerable,318500,11.8673,-71.9824
1075,Karachay-Balkar,Russian Federation,RUS,Vulnerable,302748,44.2137,42.8466
1064,Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey","IRQ, ISR, JOR, MKD, RUS, SYR, TUR",Vulnerable,300000,44.9181,39.7485
469,Buryat (Trans-Baikal),Russian Federation,RUS,Definitely endangered,300000,50.8336,109.5117
1574,Kurru,India,IND,Definitely endangered,300000,16.6151,81.6284
1578,Kuvi,India,IND,Definitely endangered,300000,18.9478,83.5839
1028,Limbu,"India, Nepal","IND, NPL",Definitely endangered,300000,27.096,87.7356
2452,Moroccan Judeo-Arabic (Israel),Israel,ISR,Definitely endangered,300000,32.0476,34.7552
401,Plautdietsch,Ukraine,UKR,Definitely endangered,300000,47.0738,35.5545
1078,Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine","ARM, GEO, GRC, RUS, TUR, UKR",Definitely endangered,300000,40.847,40.0149
1935,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Ecuador,ECU,Definitely endangered,300000,-1.8673,-78.9257
1479,Waxiang,China,CHN,Vulnerable,300000,28.5652,110.3576
1434,Oyrat,"China, Kyrgyzstan, Mongolia","CHN, KGZ, MNG",Definitely endangered,280000,46.195,88.7255
1563,Garhwali,India,IND,Vulnerable,279500,30.0976,79.1235
1380,Bade,Nigeria,NGA,Vulnerable,250000,12.801,11.1181
336,Breton,France,FRA,Severely endangered,250000,48.2246,-3.9331
352,Gascon,"Spain, France","ESP, FRA",Definitely endangered,250000,43.1811,-0.1428
2245,Phula (China),China,CHN,Vulnerable,250000,22.6001,104.0004
1205,Sora,India,IND,Vulnerable,250000,19.1244,83.2104
1119,Konyak,India,IND,Vulnerable,248000,26.9367,95.1745
1130,Ao,India,IND,Vulnerable,243000,26.4361,94.6472
1234,Tuvan,"China, Mongolia, Russian Federation","CHN, MNG, RUS",Vulnerable,242754,51.7134,94.3945
1970,Nafusi,Libyan Arab Jamahiriya,LBY,Severely endangered,240000,32.6393,13.4252
2232,Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey","ARM, IRN, IRQ, SYR, TUR",Definitely endangered,240000,36.4477,43.2971
1592,Malto,India,IND,Definitely endangered,224926,23.7853,85.4736
1600,Khowar,Pakistan,PAK,Vulnerable,222800,35.8667,71.7956
2481,Maiya,Pakistan,PAK,Vulnerable,220000,35.3151,72.908
373,Komi,Russian Federation,RUS,Definitely endangered,217316,62.3087,51.5917
365,Alpine Provençal,"France, Italy","FRA, ITA",Definitely endangered,200000,44.7467,6.6796
355,Gallo,France,FRA,Severely endangered,200000,47.931,-2.0544
1384,Gera,Nigeria,NGA,Vulnerable,200000,10.5553,10.0579
1570,Irula,India,IND,Vulnerable,200000,11.4369,76.5032
1204,Kharia,India,IND,Vulnerable,200000,21.8003,85.4956
847,Khorasani Turk,Iran (Islamic Republic of),IRN,Vulnerable,200000,36.6596,57.854
1210,Korku,India,IND,Vulnerable,200000,20.3034,80.2441
328,Moksha,Russian Federation,RUS,Definitely endangered,200000,54.1817,43.2751
7,Western Armenian (Middle East),"Iraq, Lebanon, Syrian Arab Republic","IRQ, LBN, SYR",Definitely endangered,200000,33.884,35.5133
2225,Western Cham,Cambodia,KHM,Vulnerable,200000,12.0333,105.4333
1258,Tshangla,"Bhutan, China, India","BTN, CHN, IND",Vulnerable,193000,27.1275,91.9335
1161,Thado,India,IND,Vulnerable,191000,24.4521,93.2354
389,Gagauz (Bessarabia),"Republic of Moldova, Ukraine","MDA, UKR",Definitely endangered,180000,46.0922,28.7951
1557,Kului,India,IND,Definitely endangered,170770,31.4403,77.1487
981,Adi,"China, India","CHN, IND",Vulnerable,170000,28.3527,95.2294
1132,Lhota,India,IND,Vulnerable,170000,26.1603,94.3725
977,Nyishi,India,IND,Vulnerable,170000,27.5277,93.0981
1898,Ngäbere (Panama),Panama,PAN,Vulnerable,169130,9.3395,-82.2428
1582,Kodagu,India,IND,Definitely endangered,166187,11.6952,75.9375
340,Corsican,"France, Italy","FRA, ITA",Definitely endangered,160000,42.0819,9.0307
1253,Dzongkha,Bhutan,BTN,Vulnerable,160000,27.44,89.6731
368,Kalmyk,Russian Federation,RUS,Definitely endangered,153602,46.2026,45.8239
1071,Lak,Russian Federation,RUS,Vulnerable,153373,42.0125,47.2521
332,Asturian-Leonese,"Spain, Portugal","ESP, PRT",Definitely endangered,150000,42.7954,-5.6689
376,Latgalian,"Latvia, Russian Federation","LVA, RUS",Vulnerable,150000,56.1822,27.1362
404,Provençal,France,FRA,Severely endangered,150000,43.5485,6.1083
1174,Rabha,India,IND,Vulnerable,150000,25.9284,90.9777
1996,Tamzabit,Algeria,DZA,Vulnerable,150000,32.4816,3.6694
1128,Sherpa,"China, India, Nepal","CHN, IND, NPL",Vulnerable,143693,27.739,86.839
1154,Tangkhul,India,IND,Vulnerable,142000,25.0358,94.4824
1826,Q'aanjob'al,Guatemala,GTM,Vulnerable,139830,15.6019,-91.4441
1569,Badaga,India,IND,Definitely endangered,134514,11.3642,76.5266
1140,Angami,India,IND,Vulnerable,132000,25.7553,94.1308
1056,Laz,"Georgia, Turkey","GEO, TUR",Definitely endangered,130000,41.2736,41.2646
1073,Tabasaran,Russian Federation,RUS,Vulnerable,128391,41.8081,47.9882
1553,Chambeali,India,IND,Definitely endangered,126589,32.9072,76.5307
1076,Abkhaz,"Georgia, Russian Federation, Turkey","GEO, RUS, TUR",Vulnerable,125000,43.133,40.8471
1129,Phom,India,IND,Vulnerable,123000,26.7799,94.9493
1588,Kolami,India,IND,Definitely endangered,121855,20.5093,78.1787
784,Navajo,United States of America,USA,Vulnerable,120000,35.8044,-108.475
408,Sassarese,Italy,ITA,Definitely endangered,120000,40.6139,8.6132
655,Tamahaq (Algeria),Algeria,DZA,Vulnerable,120000,22.8369,5.5371
1590,Konda,India,IND,Definitely endangered,118597,18.2763,82.9385
916,Sierra Totonac,Mexico,MEX,Severely endangered,118367,20.2461,-97.6586
1564,Jaunsari,India,IND,Definitely endangered,114733,30.4859,78.0908
1167,Dimasa,India,IND,Vulnerable,112000,24.7368,92.9003
1179,Ladakhi,"China, India","CHN, IND",Vulnerable,105000,34.0617,77.5909
1429,Salar,China,CHN,Vulnerable,104503,36.2752,102.4584
1136,Simi,India,IND,Vulnerable,104000,25.9777,94.5922
904,Phurhepecha,Mexico,MEX,Vulnerable,102988,19.3111,-102.041
342,Crimean Tatar (Crimea),Ukraine,UKR,Severely endangered,100000,45.3212,34.3212
451,Dagur (Nonni),China,CHN,Definitely endangered,100000,47.9163,124.1235
366,Francoprovençal,"France, Italy, Switzerland","FRA, ITA, CHE",Definitely endangered,100000,45.7828,6.9982
356,Gallurese,Italy,ITA,Definitely endangered,100000,40.8802,9.4482
1754,Mapuche (Argentina),Argentina,ARG,Severely endangered,100000,-40.0791,-71.0156
1620,Mehri,"Oman, Yemen","OMN, YEM",Definitely endangered,100000,16.5993,52.8057
1891,Miskito (Nicaragua),Nicaragua,NIC,Vulnerable,100000,12.4001,-83.7332
1233,Ordos,China,CHN,Definitely endangered,100000,39.1641,108.1054
1944,Quechua of Northern Bolivia,Bolivia (Plurinational State of),BOL,Vulnerable,100000,-15.3649,-69.0518
96,Suba,"Kenya, United Republic of Tanzania","KEN, TZA",Vulnerable,100000,-0.9942,34.519
1861,Garífuna (Honduras),Honduras,HND,Vulnerable,98000,15.6754,-88.1476
292,Embera (Colombia),Colombia,COL,Vulnerable,95000,6.1624,-76.8383
1162,Kabui,India,IND,Vulnerable,95000,24.7218,93.6584
760,Shughni,"Tajikistan, Afghanistan","TJK, AFG",Vulnerable,95000,37.4879,71.5374
397,Permyak,Russian Federation,RUS,Definitely endangered,94328,59.204,54.5361
1825,Poqomchi',Guatemala,GTM,Vulnerable,92941,15.3757,-90.4288
1135,Yimchungru,India,IND,Vulnerable,92000,25.9629,94.9713
669,Nogay (Caucasus),Russian Federation,RUS,Definitely endangered,90020,43.8028,46.2744
700,Heiban,Sudan,SDN,Vulnerable,90000,10.8575,30.2371
1930,Quichua (Cañar and Azuay),Ecuador,ECU,Severely endangered,90000,-2.6577,-78.8378
932,Mezquital Otomí,Mexico,MEX,Definitely endangered,88789,20.4831,-99.217
940,Eastern Mazahua,Mexico,MEX,Definitely endangered,88001,19.7129,-99.9515
1599,Burushaski,Pakistan,PAK,Vulnerable,87000,35.909,74.2153
928,Central Otomí,Mexico,MEX,Definitely endangered,84593,19.4661,-99.5944
1141,Chokri,India,IND,Vulnerable,84000,25.8691,94.7131
1133,Sangtam,India,IND,Vulnerable,84000,26.6032,94.9603
1791,Ixil (Guatemala),Guatemala,GTM,Vulnerable,83574,15.4849,-91.0358
1777,Achi',Guatemala,GTM,Vulnerable,82640,15.0845,-90.4888
1686,Yem,Ethiopia,ETH,Vulnerable,81613,7.6347,37.3205
1144,Mao,India,IND,Vulnerable,81000,25.5027,94.2681
1347,Arbëresh,Italy,ITA,Definitely endangered,80000,40.9321,14.8645
1765,Lari,Iran (Islamic Republic of),IRN,Definitely endangered,80000,27.8585,54.8547
641,Páez,Colombia,COL,Definitely endangered,80000,2.8237,-76.3117
2303,Quechua of Santiago del Estero,Argentina,ARG,Definitely endangered,80000,-26.7848,-63.6767
1058,Svan,Georgia,GEO,Definitely endangered,80000,43.0207,42.3193
2236,Tai Daeng,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",Vulnerable,80000,19.8833,104.6166
2163,Taznatit,Algeria,DZA,Severely endangered,80000,29.3413,0.3955
2179,Razihi,Yemen,YEM,Definitely endangered,75000,16.8834,43.2655
1379,Wakhi,"China, Pakistan, Tajikistan, Afghanistan","CHN, PAK, TJK, AFG",Definitely endangered,75000,37.1603,74.9047
1568,Bishnupriya Manipuri Creole,"Bangladesh, India","BGD, IND",Vulnerable,72899,24.297,92.4499
1713,Acheron,Sudan,SDN,Severely endangered,70000,10.809,30.2453
702,Maori,New Zealand,NZL,Vulnerable,70000,-38.4105,177.3632
2237,Tai Neua,Lao People's Democratic Republic,LAO,Vulnerable,70000,20.5166,104.3166
1567,Bhadravahi,"India, Pakistan","IND, PAK",Definitely endangered,66918,33.5413,76.333
1562,Kinnauri,India,IND,Definitely endangered,65097,31.541,78.3764
1330,Gallo-Sicilian,Italy,ITA,Definitely endangered,65000,38.0167,14.5994
1594,Kurux (Bangladesh),Bangladesh,BGD,Vulnerable,65000,25.8196,88.9672
1831,Tz'utujil,Guatemala,GTM,Definitely endangered,63237,14.6394,-91.2301
2350,Chamorro,Guam (U.S.A.),GUM,Vulnerable,62500,13.4323,144.7338
741,Ashaninka (Peru),Peru,PER,Vulnerable,62468,-10.6929,-74.3444
1131,Chang,India,IND,Vulnerable,62000,26.2934,94.9493
1897,Kuna (Panama),Panama,PAN,Vulnerable,61703,9.5983,-79.6334
1554,Churahi,India,IND,Definitely endangered,61199,33.1835,76.5747
1155,Nruanghmei,India,IND,Vulnerable,61000,24.9661,93.5375
1139,Rengma,India,IND,Vulnerable,61000,25.958,94.2462
1027,Faroese,Faroe Islands,FRO,Vulnerable,60000,62.0112,-6.7785
2439,Northern Tujia,China,CHN,Severely endangered,60000,28.828,109.5904
2480,Torwali,Pakistan,PAK,Definitely endangered,60000,35.5833,72.5
1787,Chuj (Guatemala),Guatemala,GTM,Vulnerable,59048,15.8259,-91.4783
1186,Kachari,India,IND,Definitely endangered,59000,25.2844,93.2189
411,Scottish Gaelic,United Kingdom of Great Britain and Northern Ireland,GBR,Definitely endangered,58552,58.1011,-6.7675
1504,Sierra de Puebla Náhuatl,Mexico,MEX,Definitely endangered,57189,19.6223,-97.8149
643,Limonese Creole,Costa Rica,CRI,Definitely endangered,55000,9.9916,-83.0316
370,Kashubian,Poland,POL,Severely endangered,53000,54.2267,18.1713
481,Khakas,Russian Federation,RUS,Definitely endangered,52217,53.7746,90.3735
1587,Parji,India,IND,Critically endangered,51216,18.5629,82.8039
1352,Arvanitika,Greece,GRC,Severely endangered,50000,38.1863,23.6096
507,Buryat (Cis-Baikal),Russian Federation,RUS,Severely endangered,50000,52.7961,104.8809
458,Buryat (Manchuria),"China, Mongolia","CHN, MNG",Definitely endangered,50000,49.8096,119.7509
2261,Cuona Menba,"Bhutan, China, India","BTN, CHN, IND",Vulnerable,50000,26.8279,95.3623
2229,Eastern Cham,Viet Nam,VNM,Definitely endangered,50000,10.7833,108.0833
1232,Hmar,India,IND,Vulnerable,50000,24.577,93.3178
1422,Huzhu Monguor,China,CHN,Severely endangered,50000,36.7608,102.4255
1159,Paite,India,IND,Vulnerable,50000,24.1968,93.3563
1929,Quichua (Imbabura),Ecuador,ECU,Definitely endangered,50000,0.1757,-78.2006
1949,Soqotri,Yemen,YEM,Severely endangered,50000,12.5331,53.767
462,Southern Altay,Russian Federation,RUS,Definitely endangered,50000,51.069,86.5942
1475,Transylvanian Saxon,Romania,ROU,Severely endangered,50000,46.214,24.2413
1986,Turoyo,"Syrian Arab Republic, Turkey","SYR, TUR",Severely endangered,50000,37.405,41.3745
422,Võro-Seto,"Estonia, Russian Federation","EST, RUS",Definitely endangered,50000,57.8096,27.29
687,West Greenlandic,Greenland (Kingdom of Denmark),GRL,Vulnerable,50000,64.1681,-51.7236
1494,Western Armenian (Turkey),Turkey,TUR,Definitely endangered,50000,41.0213,28.9324
122,Zaramo,United Republic of Tanzania,TZA,Definitely endangered,50000,-6.922,39.2409
2180,Zenatiya,Algeria,DZA,Critically endangered,50000,35.5702,1.8099
915,Papantla Totonac,Mexico,MEX,Definitely endangered,49748,20.4477,-97.32
1108,Wancho,India,IND,Vulnerable,49000,26.9759,95.4656
1213,Bhumji,India,IND,Vulnerable,47000,21.8003,86.8139
2241,Cosung (China),China,CHN,Definitely endangered,47000,22.6833,102.6666
2240,Cosung (Viet Nam),Viet Nam,VNM,Definitely endangered,47000,22.6166,102.75
2249,Baheng (China),China,CHN,Vulnerable,45000,26.19,110.24
60,Lumun,Sudan,SDN,Definitely endangered,45000,10.8387,30.0338
1931,Quichua (Loja),Ecuador,ECU,Severely endangered,45000,-3.6236,-79.2388
1025,Chamling,Nepal,NPL,Definitely endangered,44093,27.0499,86.7329
362,Irish,"Ireland, United Kingdom of Great Britain and Northern Ireland","IRL, GBR",Definitely endangered,44000,53.7876,-9.1845
1329,Reshe,Nigeria,NGA,Vulnerable,44000,10.8791,4.6115
927,Sierra Otomí,Mexico,MEX,Vulnerable,43468,20.1021,-97.622
134,Phuthi,Lesotho,LSO,Definitely endangered,43000,-29.3791,28.2838
704,Rarotongan,Cook Islands,COK,Vulnerable,43000,-21.2343,-159.7837
1804,Khalaj,Iran (Islamic Republic of),IRN,Vulnerable,42100,34.3751,50.3063
1670,Dungan,"Kazakhstan, Kyrgyzstan","KAZ, KGZ",Definitely endangered,41000,42.4518,78.4643
1143,Kheza,India,IND,Vulnerable,41000,25.6811,94.367
1304,Jola-Kassa,Senegal,SEN,Vulnerable,40850,13.1089,-15.8999
1447,Satār,Nepal,NPL,Vulnerable,40260,26.5541,87.918
1927,Guaraní Boliviano,"Argentina, Bolivia (Plurinational State of)","ARG, BOL",Vulnerable,40000,-20.1694,-63.8525
1208,Gutob,India,IND,Vulnerable,40000,18.7086,83.5839
1247,Kheng,Bhutan,BTN,Vulnerable,40000,27.0786,91.0272
70,Laro,Sudan,SDN,Definitely endangered,40000,10.7685,29.902
986,Minyong,India,IND,Vulnerable,40000,28.2632,95.0537
1137,Mru,Myanmar,MMR,Severely endangered,40000,21.7748,92.2741
149,Patani Malay,Thailand,THA,Vulnerable,40000,6.6482,100.0387
998,"Quechua of Cajatambo, Pasco and northern Junín",Peru,PER,Severely endangered,40000,-10.6147,-76.506
1275,Quichua (Napo),Ecuador,ECU,Definitely endangered,40000,-0.6371,-77.1459
1104,Tangsa,India,IND,Vulnerable,40000,27.4059,96.427
2210,Tetserret,Niger,NER,Severely endangered,40000,15.4907,6.2072
734,Awajun,Peru,PER,Vulnerable,39000,-4.3464,-77.8271
1134,Khiamngan,India,IND,Vulnerable,38000,26.0518,95.1031
1717,Ngile,Sudan,SDN,Severely endangered,38000,10.7901,29.8635
2235,Phunoi,Lao People's Democratic Republic,LAO,Vulnerable,37311,21.6833,102.1
905,Lower Mixe,Mexico,MEX,Vulnerable,37000,16.9616,-95.093
1151,Maram,India,IND,Vulnerable,37000,25.185,93.9715
427,Western Mari,Russian Federation,RUS,Severely endangered,36822,56.3317,46.5545
1082,Chepang,Nepal,NPL,Vulnerable,36807,27.7552,84.8144
1356,Chontal Tabasco,Mexico,MEX,Severely endangered,36514,17.7607,-92.5936
2414,Muji,China,CHN,Definitely endangered,36500,23.6,102.7333
1778,Akatek (Guatemala),Guatemala,GTM,Vulnerable,35763,15.5724,-91.4218
1491,Huichol,Mexico,MEX,Vulnerable,35724,22.65,-103.5833
406,Romansh,Switzerland,CHE,Definitely endangered,35095,46.5777,9.6954
938,Apatani,India,IND,Vulnerable,35000,27.5228,93.8177
988,Galo,India,IND,Vulnerable,35000,28.1688,94.7433
1218,Korwa,India,IND,Vulnerable,35000,22.4922,84.1552
759,Shuar chicham,Ecuador,ECU,Definitely endangered,35000,-2.8826,-78.0303
742,Ticuna,"Brazil, Colombia, Peru","BRA, COL, PER",Definitely endangered,35000,-4.3464,-70.0048
999,Wanka Quechua,Peru,PER,Severely endangered,35000,-12.136,-75.2453
296,Sikuani,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Vulnerable,34614,3.4256,-68.8183
1800,Jakaltek (Guatemala),Guatemala,GTM,Definitely endangered,34038,15.6685,-91.7111
1147,Liangmai,India,IND,Vulnerable,34000,25.2794,93.6694
1150,Zeme,India,IND,Vulnerable,34000,25.5027,93.5595
1277,Highland Mazatec,Mexico,MEX,Vulnerable,33859,18.1307,-96.8436
1116,Thangmi,Nepal,NPL,Definitely endangered,33500,27.6969,86.0057
1106,Nocte,India,IND,Vulnerable,33000,27.1618,95.7952
1490,Mayo,Mexico,MEX,Critically endangered,32869,26.9114,-109.6271
2309,Lauje,Indonesia,IDN,Vulnerable,32000,-0.4531,119.9816
431,Danuwar,Nepal,NPL,Severely endangered,31849,26.9661,86.3223
1561,Sirmaudi,India,IND,Critically endangered,31144,30.9823,77.1569
1077,Abaza,"Russian Federation, Turkey","RUS, TUR",Definitely endangered,31000,44.1556,41.9368
1171,Koch,India,IND,Definitely endangered,31000,25.7603,90.3955
2030,Amis,China,CHN,Vulnerable,30000,23.4456,121.4483
2525,Biak,Indonesia,IDN,Vulnerable,30000,-0.3076,131.2207
1245,Bumthang,Bhutan,BTN,Vulnerable,30000,27.492,90.7159
1350,Burgenland Croatian,"Austria, Hungary, Slovakia","AUT, HUN, SVK",Definitely endangered,30000,47.8435,16.5179
1768,Dzhidi,Iran (Islamic Republic of),IRN,Definitely endangered,30000,33.5139,48.0102
2451,Judeo-Berber (Israel),Israel,ISR,Severely endangered,30000,31.6767,34.5684
