MV	INDUS	NOX	RM	TAX	PT	LSTAT
20	6.91	44.8	5.786	233	17.9	14.15
16.6	6.91	44.8	6.03	233	17.9	18.8
14.4	6.91	44.8	5.399	233	17.9	30.81
19.4	6.91	44.8	5.602	233	17.9	16.2
19.7	5.64	43.9	5.963	243	16.8	13.45
20.5	5.64	43.9	6.115	243	16.8	9.43
25	5.64	43.9	6.511	243	16.8	5.28
23.4	5.64	43.9	5.998	243	16.8	8.43
18.9	4	41	5.888	469	21.1	14.8
35.4	1.22	40.3	7.249	226	17.9	4.81
24.7	0.74	41	6.383	313	17.3	5.77
31.6	1.32	41.1	6.816	256	15.1	3.95
23.3	5.13	45.3	6.145	284	19.7	6.86
19.6	5.13	45.3	5.927	284	19.7	9.22
18.7	5.13	45.3	5.741	284	19.7	13.15
16	5.13	45.3	5.966	284	19.7	14.44
22.2	5.13	45.3	6.456	284	19.7	6.73
25	5.13	45.3	6.762	284	19.7	9.5
33	1.38	41.61	7.104	216	18.6	8.05
23.5	3.37	39.8	6.29	337	16.1	4.67
19.4	3.37	39.8	5.787	337	16.1	10.24
22	6.07	40.9	5.878	345	18.9	8.1
17.4	6.07	40.9	5.594	345	18.9	13.09
20.9	6.07	40.9	5.885	345	18.9	8.79
24.2	10.81	41.3	6.417	305	19.2	6.72
21.7	10.81	41.3	5.961	305	19.2	9.88
22.8	10.81	41.3	6.065	305	19.2	5.52
23.4	10.81	41.3	6.245	305	19.2	7.54
24.1	12.83	43.7	6.273	398	18.7	6.78
21.4	12.83	43.7	6.286	398	18.7	8.94
20	12.83	43.7	6.279	398	18.7	11.97
20.8	12.83	43.7	6.14	398	18.7	10.27
21.2	12.83	43.7	6.232	398	18.7	12.34
20.3	12.83	43.7	5.874	398	18.7	9.1
28	4.86	42.6	6.727	281	19	5.29
23.9	4.86	42.6	6.619	281	19	7.22
24.8	4.86	42.6	6.302	281	19	6.72
22.9	4.86	42.6	6.167	281	19	7.51
23.9	4.49	44.9	6.389	247	18.5	9.62
26.6	4.49	44.9	6.63	247	18.5	6.53
22.5	4.49	44.9	6.015	247	18.5	12.86
22.2	4.49	44.9	6.121	247	18.5	8.44
23.6	3.41	48.9	7.007	270	17.8	5.5
28.7	3.41	48.9	7.079	270	17.8	5.7
22.6	3.41	48.9	6.417	270	17.8	8.81
22	3.41	48.9	6.405	270	17.8	8.2
22.9	15.04	46.4	6.442	270	18.2	8.16
25	15.04	46.4	6.211	270	18.2	6.21
20.6	15.04	46.4	6.249	270	18.2	10.59
28.4	2.89	44.5	6.625	276	18	6.65
21.4	2.89	44.5	6.163	276	18	11.34
38.7	2.89	44.5	8.069	276	18	4.21
43.8	2.89	44.5	7.82	276	18	3.57
33.2	2.89	44.5	7.416	276	18	6.19
27.5	8.56	52	6.727	384	20.9	9.42
26.5	8.56	52	6.781	384	20.9	7.67
18.6	8.56	52	6.405	384	20.9	10.63
19.3	8.56	52	6.137	384	20.9	13.44
20.1	8.56	52	6.167	384	20.9	12.33
19.5	8.56	52	5.851	384	20.9	16.47
19.5	8.56	52	5.836	384	20.9	18.66
20.4	8.56	52	6.127	384	20.9	14.09
19.8	8.56	52	6.474	384	20.9	12.27
19.4	8.56	52	6.229	384	20.9	15.55
21.7	8.56	52	6.195	384	20.9	13
22.8	10.01	54.7	6.715	432	17.8	10.16
18.8	10.01	54.7	5.913	432	17.8	16.21
18.7	10.01	54.7	6.092	432	17.8	17.09
18.5	10.01	54.7	6.254	432	17.8	10.45
18.3	10.01	54.7	5.928	432	17.8	15.76
21.2	10.01	54.7	6.176	432	17.8	12.04
19.2	10.01	54.7	6.021	432	17.8	10.3
20.4	10.01	54.7	5.872	432	17.8	15.37
19.3	10.01	54.7	5.731	432	17.8	13.61
22	25.65	58.1	5.87	188	19.1	14.37
20.3	25.65	58.1	6.004	188	19.1	14.27
20.5	25.65	58.1	5.961	188	19.1	17.93
17.3	25.65	58.1	5.856	188	19.1	25.41
18.8	25.65	58.1	5.879	188	19.1	17.58
21.4	25.65	58.1	5.986	188	19.1	14.81
15.7	25.65	58.1	5.613	188	19.1	27.26
16.2	21.89	62.4	5.693	437	21.2	17.19
18	21.89	62.4	6.431	437	21.2	15.39
14.3	21.89	62.4	5.637	437	21.2	18.34
19.2	21.89	62.4	6.458	437	21.2	12.6
19.6	21.89	62.4	6.326	437	21.2	12.26
23	21.89	62.4	6.372	437	21.2	11.12
18.4	21.89	62.4	5.822	437	21.2	15.03
15.6	21.89	62.4	5.757	437	21.2	17.31
18.1	21.89	62.4	6.335	437	21.2	16.96
17.4	21.89	62.4	5.942	437	21.2	16.9
17.1	21.89	62.4	6.454	437	21.2	14.59
13.3	21.89	62.4	5.857	437	21.2	21.32
17.8	21.89	62.4	6.151	437	21.2	18.46
14	21.89	62.4	6.174	437	21.2	24.16
14.4	21.89	62.4	5.019	437	21.2	34.41
13.4	19.58	87.1	5.403	403	14.7	26.82
15.6	19.58	87.1	5.468	403	14.7	26.42
11.8	19.58	87.1	4.903	403	14.7	29.29
13.8	19.58	87.1	6.13	403	14.7	27.8
15.6	19.58	87.1	5.628	403	14.7	16.65
14.6	19.58	87.1	4.926	403	14.7	29.53
17.8	19.58	87.1	5.186	403	14.7	28.32
15.4	19.58	87.1	5.597	403	14.7	21.45
21.5	19.58	87.1	6.122	403	14.7	14.1
19.6	19.58	87.1	5.404	403	14.7	13.28
15.3	19.58	87.1	5.012	403	14.7	12.12
19.4	19.58	87.1	5.709	403	14.7	15.79
17	19.58	87.1	6.129	403	14.7	15.12
15.6	19.58	87.1	6.152	403	14.7	15.02
13.1	19.58	87.1	5.272	403	14.7	16.14
41.3	19.58	60.5	6.943	403	14.7	4.59
24.3	19.58	60.5	6.066	403	14.7	6.43
23.3	19.58	87.1	6.51	403	14.7	7.39
27	19.58	60.5	6.25	403	14.7	5.5
50	19.58	60.5	7.489	403	14.7	1.73
50	19.58	60.5	7.802	403	14.7	1.92
50	19.58	60.5	8.375	403	14.7	3.32
22.7	19.58	60.5	5.854	403	14.7	11.64
25	19.58	60.5	6.101	403	14.7	9.81
50	19.58	60.5	7.929	403	14.7	3.7
23.8	19.58	60.5	5.877	403	14.7	12.14
23.8	19.58	60.5	6.319	403	14.7	11.1
22.3	19.58	60.5	6.402	403	14.7	11.32
17.4	19.58	60.5	5.875	403	14.7	14.43
19.1	19.58	60.5	5.88	403	14.7	12.03
23.1	4.05	51	5.572	296	16.6	14.69
23.6	4.05	51	6.416	296	16.6	9.04
22.6	4.05	51	5.859	296	16.6	9.64
29.4	4.05	51	6.546	296	16.6	5.33
23.2	4.05	51	6.02	296	16.6	10.11
24.6	4.05	51	6.315	296	16.6	6.29
29.9	4.05	51	6.86	296	16.6	6.92
37.2	2.46	48.8	6.98	193	17.8	5.04
39.8	2.46	48.8	7.765	193	17.8	7.56
36.2	2.46	48.8	6.144	193	17.8	9.45
37.9	2.46	48.8	7.155	193	17.8	4.82
32.5	2.46	48.8	6.563	193	17.8	5.68
26.4	2.46	48.8	5.604	193	17.8	13.98
29.6	2.46	48.8	6.153	193	17.8	13.15
50	2.46	48.8	7.831	193	17.8	4.45
32	3.44	43.7	6.782	398	15.2	6.68
29.8	3.44	43.7	6.556	398	15.2	4.56
34.9	3.44	43.7	7.185	398	15.2	5.39
37	3.44	43.7	6.951	398	15.2	5.1
30.5	3.44	43.7	6.739	398	15.2	4.69
36.4	3.44	43.7	7.178	398	15.2	2.87
31.1	2.93	40.1	6.8	265	15.6	5.03
29.1	2.93	40.1	6.604	265	15.6	4.38
50	0.46	42.2	7.875	255	14.4	2.97
33.3	1.52	40.4	7.287	329	12.6	4.08
30.3	1.52	40.4	7.107	329	12.6	8.61
34.6	1.52	40.4	7.274	329	12.6	6.62
34.9	1.47	40.3	6.975	402	17	4.56
32.9	1.47	40.3	7.135	402	17	4.45
24.1	2.03	41.5	6.162	348	14.7	7.43
42.3	2.03	41.5	7.61	348	14.7	3.11
48.5	2.68	41.61	7.853	224	14.7	3.81
50	2.68	41.61	8.034	224	14.7	2.88
22.6	10.59	48.9	5.891	277	18.6	10.87
24.4	10.59	48.9	6.326	277	18.6	10.97
22.5	10.59	48.9	5.783	277	18.6	18.06
24.4	10.59	48.9	6.064	277	18.6	14.66
20	10.59	48.9	5.344	277	18.6	23.09
21.7	10.59	48.9	5.96	277	18.6	17.27
19.3	10.59	48.9	5.404	277	18.6	23.98
22.4	10.59	48.9	5.807	277	18.6	16.03
28.1	10.59	48.9	6.375	277	18.6	9.38
23.7	10.59	48.9	5.412	277	18.6	29.55
25	10.59	48.9	6.182	277	18.6	9.47
23.3	13.89	55	5.888	276	16.4	13.51
28.7	13.89	55	6.642	276	16.4	9.69
21.5	13.89	55	5.951	276	16.4	17.92
23	13.89	55	6.373	276	16.4	10.5
26.7	6.2	50.7	6.951	307	17.4	9.71
21.7	6.2	50.7	6.164	307	17.4	21.46
27.5	6.2	50.7	6.879	307	17.4	9.93
30.1	6.2	50.7	6.618	307	17.4	7.6
44.8	6.2	50.4	8.266	307	17.4	4.14
50	6.2	50.4	8.725	307	17.4	4.63
37.6	6.2	50.4	8.04	307	17.4	3.13
31.6	6.2	50.4	7.163	307	17.4	6.36
46.7	6.2	50.4	7.686	307	17.4	3.92
31.5	6.2	50.4	6.552	307	17.4	3.76
24.3	6.2	50.4	5.981	307	17.4	11.65
31.7	6.2	50.4	7.412	307	17.4	5.25
41.7	6.2	50.7	8.337	307	17.4	2.47
48.3	6.2	50.7	8.247	307	17.4	3.95
29	6.2	50.7	6.726	307	17.4	8.05
24	6.2	50.7	6.086	307	17.4	10.88
25.1	6.2	50.7	6.631	307	17.4	9.54
31.5	6.2	50.7	7.358	307	17.4	4.73
23.7	4.93	42.8	6.481	300	16.6	6.36
23.3	4.93	42.8	6.606	300	16.6	7.37
22	4.93	42.8	6.897	300	16.6	11.38
20.1	4.93	42.8	6.095	300	16.6	12.4
22.2	4.93	42.8	6.358	300	16.6	11.22
23.7	4.93	42.8	6.393	300	16.6	5.19
17.6	5.86	43.1	5.593	330	19.1	12.5
18.5	5.86	43.1	5.605	330	19.1	18.46
24.3	5.86	43.1	6.108	330	19.1	9.16
20.5	5.86	43.1	6.226	330	19.1	10.15
24.5	5.86	43.1	6.433	330	19.1	9.52
26.2	5.86	43.1	6.718	330	19.1	6.56
24.4	5.86	43.1	6.487	330	19.1	5.9
24.8	5.86	43.1	6.438	330	19.1	3.59
29.6	5.86	43.1	6.957	330	19.1	3.53
42.8	5.86	43.1	8.259	330	19.1	3.54
21.9	3.64	39.2	6.108	315	16.4	6.57
20.9	3.64	39.2	5.876	315	16.4	9.25
44	3.75	39.4	7.454	244	15.9	3.11
50	3.97	64.7	8.704	264	13	5.12
36	3.97	64.7	7.333	264	13	7.79
30.1	3.97	64.7	6.842	264	13	6.9
33.8	3.97	64.7	7.203	264	13	9.59
43.1	3.97	64.7	7.52	264	13	7.26
48.8	3.97	64.7	8.398	264	13	5.91
31	3.97	64.7	7.327	264	13	11.25
36.5	3.97	64.7	7.206	264	13	8.1
22.8	3.97	64.7	5.56	264	13	10.45
30.7	3.97	64.7	7.014	264	13	14.79
50	3.97	57.5	8.297	264	13	7.44
43.5	3.97	57.5	7.47	264	13	3.16
20.7	6.96	46.4	5.92	223	18.6	13.65
21.1	6.96	46.4	5.856	223	18.6	13
25.2	6.96	46.4	6.24	223	18.6	6.59
24.4	6.96	46.4	6.538	223	18.6	7.73
35.2	6.96	46.4	7.691	223	18.6	6.58
32.4	6.41	44.7	6.758	254	17.6	3.53
32	6.41	44.7	6.854	254	17.6	2.98
33.2	6.41	44.7	7.267	254	17.6	6.05
33.1	6.41	44.7	6.826	254	17.6	4.16
29.1	6.41	44.7	6.482	254	17.6	7.19
35.1	3.33	44.29	6.812	216	14.9	4.85
45.4	3.33	44.29	7.82	216	14.9	3.76
35.4	3.33	44.29	6.968	216	14.9	4.59
46	3.33	44.29	7.645	216	14.9	3.01
50	1.21	40.1	7.923	198	13.6	3.16
32.2	2.97	40	7.088	285	15.3	7.85
22	2.25	38.9	6.453	300	15.3	8.23
20.1	1.76	38.5	6.23	241	18.2	12.93
23.2	5.32	40.5	6.209	293	16.6	7.14
22.3	5.32	40.5	6.315	293	16.6	7.6
24.8	5.32	40.5	6.565	293	16.6	9.51
28.5	4.95	41.1	6.861	245	19.2	3.33
37.3	4.95	41.1	7.148	245	19.2	3.56
27.9	4.95	41.1	6.63	245	19.2	4.7
23.9	13.92	43.7	6.127	289	16	8.58
21.7	13.92	43.7	6.009	289	16	10.4
28.6	13.92	43.7	6.678	289	16	6.27
27.1	13.92	43.7	6.549	289	16	7.39
20.3	13.92	43.7	5.79	289	16	15.84
22.5	2.24	40	6.345	358	14.8	4.97
29	2.24	40	7.041	358	14.8	4.74
24.8	2.24	40	6.871	358	14.8	6.07
22	6.09	43.3	6.59	329	16.1	9.5
26.4	6.09	43.3	6.495	329	16.1	8.67
33.1	6.09	43.3	6.982	329	16.1	4.86
36.1	2.18	47.2	7.236	222	18.4	6.93
28.4	2.18	47.2	6.616	222	18.4	8.93
33.4	2.18	47.2	7.42	222	18.4	6.47
28.2	2.18	47.2	6.849	222	18.4	7.53
22.8	9.9	54.4	6.635	304	18.4	4.54
20.3	9.9	54.4	5.972	304	18.4	9.97
16.1	9.9	54.4	4.973	304	18.4	12.64
22.1	9.9	54.4	6.122	304	18.4	5.98
19.4	9.9	54.4	6.023	304	18.4	11.72
21.6	9.9	54.4	6.266	304	18.4	7.9
23.8	9.9	54.4	6.567	304	18.4	9.28
16.2	9.9	54.4	5.705	304	18.4	11.5
17.8	9.9	54.4	5.914	304	18.4	18.33
19.8	9.9	54.4	5.782	304	18.4	15.94
23.1	9.9	54.4	6.382	304	18.4	10.36
21	9.9	54.4	6.113	304	18.4	12.73
23.8	7.38	49.3	6.426	287	19.6	7.2
23.1	7.38	49.3	6.376	287	19.6	6.87
20.4	7.38	49.3	6.041	287	19.6	7.7
18.5	7.38	49.3	5.708	287	19.6	11.74
25	7.38	49.3	6.415	287	19.6	6.12
24.6	7.38	49.3	6.431	287	19.6	5.08
23	7.38	49.3	6.312	287	19.6	6.15
22.2	7.38	49.3	6.083	287	19.6	12.79
19.3	3.24	46	5.868	430	16.9	9.97
22.6	3.24	46	6.333	430	16.9	7.34
19.8	3.24	46	6.144	430	16.9	9.09
17.1	6.06	43.79	5.706	304	16.9	12.43
19.4	6.06	43.79	6.031	304	16.9	7.83
22.2	5.19	51.5	6.316	224	20.2	5.68
20.7	5.19	51.5	6.31	224	20.2	6.75
21.1	5.19	51.5	6.037	224	20.2	8.01
19.5	5.19	51.5	5.869	224	20.2	9.8
18.5	5.19	51.5	5.895	224	20.2	10.56
20.6	5.19	51.5	6.059	224	20.2	8.51
19	5.19	51.5	5.985	224	20.2	9.74
18.7	5.19	51.5	5.968	224	20.2	9.29
32.7	1.52	44.2	7.241	284	15.5	5.49
16.5	1.89	51.8	6.54	422	15.9	8.65
23.9	3.78	48.4	6.696	370	17.6	7.18
31.2	3.78	48.4	6.874	370	17.6	4.61
17.5	4.39	44.2	6.014	352	18.8	10.53
17.2	4.39	44.2	5.898	352	18.8	12.67
23.1	4.15	42.9	6.516	351	17.9	6.36
24.5	2.01	43.5	6.635	280	17	5.99
26.6	1.25	42.9	6.939	335	19.7	5.89
22.9	1.25	42.9	6.49	335	19.7	5.98
24.1	1.69	41.1	6.579	411	18.3	5.49
18.6	1.69	41.1	5.884	411	18.3	7.79
30.1	2.02	41	6.728	187	17	4.5
18.2	1.91	41.3	5.663	334	22	8.05
20.6	1.91	41.3	5.936	334	22	5.57
17.8	18.1	77	6.212	666	20.2	17.6
21.7	18.1	77	6.395	666	20.2	13.27
22.7	18.1	77	6.127	666	20.2	11.48
22.6	18.1	77	6.112	666	20.2	12.67
25	18.1	77	6.398	666	20.2	7.79
19.9	18.1	77	6.251	666	20.2	14.19
20.8	18.1	77	5.362	666	20.2	10.19
16.8	18.1	77	5.803	666	20.2	14.64
21.9	18.1	71.8	8.78	666	20.2	5.29
27.5	18.1	71.8	3.561	666	20.2	7.12
21.9	18.1	71.8	4.963	666	20.2	14
23.1	18.1	63.1	3.863	666	20.2	13.33
50	18.1	63.1	4.97	666	20.2	3.26
50	18.1	63.1	6.683	666	20.2	3.73
50	18.1	63.1	7.016	666	20.2	2.96
50	18.1	63.1	6.216	666	20.2	9.53
50	18.1	66.8	5.875	666	20.2	8.88
13.8	18.1	66.8	4.906	666	20.2	34.77
13.8	18.1	66.8	4.138	666	20.2	37.97
15	18.1	67.1	7.313	666	20.2	13.44
13.9	18.1	67.1	6.649	666	20.2	23.24
13.3	18.1	67.1	6.794	666	20.2	21.24
13.1	18.1	67.1	6.38	666	20.2	23.69
10.2	18.1	67.1	6.223	666	20.2	21.78
10.4	18.1	67.1	6.968	666	20.2	17.21
10.9	18.1	67.1	6.545	666	20.2	21.08
11.3	18.1	70	5.536	666	20.2	23.6
12.3	18.1	70	5.52	666	20.2	24.56
8.8	18.1	70	4.368	666	20.2	30.63
7.2	18.1	70	5.277	666	20.2	30.81
10.5	18.1	70	4.652	666	20.2	28.28
7.4	18.1	70	5	666	20.2	31.99
10.2	18.1	70	4.88	666	20.2	30.62
11.5	18.1	70	5.39	666	20.2	20.85
15.1	18.1	70	5.713	666	20.2	17.11
23.2	18.1	70	6.051	666	20.2	18.76
9.7	18.1	70	5.036	666	20.2	25.68
13.8	18.1	69.3	6.193	666	20.2	15.17
12.7	18.1	69.3	5.887	666	20.2	16.35
13.1	18.1	69.3	6.471	666	20.2	17.12
12.5	18.1	69.3	6.405	666	20.2	19.37
8.5	18.1	69.3	5.747	666	20.2	19.92
5	18.1	69.3	5.453	666	20.2	30.59
6.3	18.1	69.3	5.852	666	20.2	29.97
5.6	18.1	69.3	5.987	666	20.2	26.77
7.2	18.1	69.3	6.343	666	20.2	20.32
12.1	18.1	69.3	6.404	666	20.2	20.31
8.3	18.1	69.3	5.349	666	20.2	19.77
8.5	18.1	69.3	5.531	666	20.2	27.38
5	18.1	69.3	5.683	666	20.2	22.98
11.9	18.1	65.9	4.138	666	20.2	23.34
27.9	18.1	65.9	5.608	666	20.2	12.13
17.2	18.1	59.7	5.617	666	20.2	26.4
27.5	18.1	59.7	6.852	666	20.2	19.78
15	18.1	59.7	5.757	666	20.2	10.11
17.2	18.1	59.7	6.657	666	20.2	21.22
17.9	18.1	59.7	4.628	666	20.2	34.37
16.3	18.1	59.7	5.155	666	20.2	20.08
7	18.1	69.3	4.519	666	20.2	36.98
7.2	18.1	67.9	6.434	666	20.2	29.05
7.5	18.1	67.9	6.782	666	20.2	25.79
10.4	18.1	67.9	5.304	666	20.2	26.64
8.8	18.1	67.9	5.957	666	20.2	20.62
8.4	18.1	71.8	6.824	666	20.2	22.74
16.7	18.1	71.8	6.411	666	20.2	15.02
14.2	18.1	71.8	6.006	666	20.2	15.7
20.8	18.1	61.4	5.648	666	20.2	14.1
13.4	18.1	61.4	6.103	666	20.2	23.29
11.7	18.1	58.4	5.565	666	20.2	17.16
8.3	18.1	67.9	5.896	666	20.2	24.39
10.2	18.1	58.4	5.837	666	20.2	15.69
10.9	18.1	67.9	6.202	666	20.2	14.52
11	18.1	67.9	6.193	666	20.2	21.52
9.5	18.1	67.9	6.38	666	20.2	24.08
14.5	18.1	58.4	6.348	666	20.2	17.64
14.1	18.1	58.4	6.833	666	20.2	19.69
16.1	18.1	58.4	6.425	666	20.2	12.03
14.3	18.1	71.3	6.436	666	20.2	16.22
11.7	18.1	71.3	6.208	666	20.2	15.17
13.4	18.1	74	6.629	666	20.2	23.27
9.6	18.1	74	6.461	666	20.2	18.05
8.7	18.1	74	6.152	666	20.2	26.45
8.4	18.1	74	5.935	666	20.2	34.02
12.8	18.1	74	5.627	666	20.2	22.88
10.5	18.1	74	5.818	666	20.2	22.11
17.1	18.1	74	6.406	666	20.2	19.52
18.4	18.1	74	6.219	666	20.2	16.59
15.4	18.1	74	6.485	666	20.2	18.85
10.8	18.1	74	5.854	666	20.2	23.79
11.8	18.1	74	6.459	666	20.2	23.98
14.9	18.1	74	6.341	666	20.2	17.79
12.6	18.1	74	6.251	666	20.2	16.44
14.1	18.1	71.3	6.185	666	20.2	18.13
13	18.1	71.3	6.417	666	20.2	19.31
13.4	18.1	71.3	6.749	666	20.2	17.44
15.2	18.1	71.3	6.655	666	20.2	17.73
16.1	18.1	71.3	6.297	666	20.2	17.27
17.8	18.1	71.3	7.393	666	20.2	16.74
14.9	18.1	71.3	6.728	666	20.2	18.71
14.1	18.1	71.3	6.525	666	20.2	18.13
12.7	18.1	71.3	5.976	666	20.2	19.01
13.5	18.1	71.3	5.936	666	20.2	16.94
14.9	18.1	71.3	6.301	666	20.2	16.23
20	18.1	71.3	6.081	666	20.2	14.7
16.4	18.1	71.3	6.701	666	20.2	16.42
17.7	18.1	71.3	6.376	666	20.2	14.65
19.5	18.1	71.3	6.317	666	20.2	13.99
20.2	18.1	71.3	6.513	666	20.2	10.29
21.4	18.1	65.5	6.209	666	20.2	13.22
19.9	18.1	65.5	5.759	666	20.2	14.13
19	18.1	65.5	5.952	666	20.2	17.15
19.1	18.1	58.4	6.003	666	20.2	21.32
19.1	18.1	58	5.926	666	20.2	18.13
20.1	18.1	58	5.713	666	20.2	14.76
19.9	18.1	58	6.167	666	20.2	16.29
19.6	18.1	53.2	6.229	666	20.2	12.87
23.2	18.1	58	6.437	666	20.2	14.36
29.8	18.1	61.4	6.98	666	20.2	11.66
13.8	18.1	58.4	5.427	666	20.2	18.14
13.3	18.1	58.4	6.162	666	20.2	24.1
16.7	18.1	61.4	6.484	666	20.2	18.68
12	18.1	61.4	5.304	666	20.2	24.91
14.6	18.1	61.4	6.185	666	20.2	18.03
21.4	18.1	61.4	6.229	666	20.2	13.11
23	18.1	53.2	6.242	666	20.2	10.74
23.7	18.1	53.2	6.75	666	20.2	7.74
25	18.1	53.2	7.061	666	20.2	7.01
21.8	18.1	53.2	5.762	666	20.2	10.42
20.6	18.1	58.3	5.871	666	20.2	13.34
21.2	18.1	58.3	6.312	666	20.2	10.58
19.1	18.1	58.3	6.114	666	20.2	14.98
20.6	18.1	58.3	5.905	666	20.2	11.45
15.2	27.74	60.9	5.454	711	20.1	18.06
7	27.74	60.9	5.414	711	20.1	23.97
8.1	27.74	60.9	5.093	711	20.1	29.68
13.6	27.74	60.9	5.983	711	20.1	18.07
20.1	27.74	60.9	5.983	711	20.1	13.35
21.8	9.69	58.5	5.707	391	19.2	12.01
24.5	9.69	58.5	5.926	391	19.2	13.59
23.1	9.69	58.5	5.67	391	19.2	17.6
19.7	9.69	58.5	5.39	391	19.2	21.14
18.3	9.69	58.5	5.794	391	19.2	14.1
21.2	9.69	58.5	6.019	391	19.2	12.92
17.5	9.69	58.5	5.569	391	19.2	15.1
16.8	9.69	58.5	6.027	391	19.2	14.33
22.4	11.93	57.3	6.593	273	21	9.67
20.6	11.93	57.3	6.12	273	21	9.08
23.9	11.93	57.3	6.976	273	21	5.64
22	11.93	57.3	6.794	273	21	6.48
11.9	11.93	57.3	6.03	273	21	7.88
